ShortestPath,,,
,Time,,
Nodes,Random,,
10,0,,
110,99,,
210,1099,,
310,1801,,
410,2900,,
510,5099,,
610,6397,,
710,8903,,
810,11853,,
910,14597,,
1010,17898,,
1110,22497,,
1210,25601,,
1310,30400,,
1410,36743,,
,,,
